Data,Talhao,Cultura,Umidade_Solo_Pct,Precipitacao_mm,Temperatura_C,Fertilizante_kg_ha,Produtividade_kg_ha
2024-01-01,Talhão 07,Trigo,21.59,0.0,14.44,151.58,3220.44
2024-01-01,Talhão 06,Soja,17.37,0.0,22.1,154.84,2920.03
2024-01-01,Talhão 09,Soja,23.02,0.0,12.8,154.44,2414.33
2024-01-01,Talhão 07,Trigo,20.55,0.0,17.28,107.99,2477.45
2024-01-01,Talhão 05,Milho,29.26,0.0,24.99,189.33,6049.24
2024-01-01,Talhão 01,Trigo,16.48,0.0,22.83,126.46,2644.35
2024-01-01,Talhão 02,Milho,21.28,12.99,17.11,214.92,6960.64
2024-01-01,Talhão 09,Milho,12.08,0.0,22.95,190.79,5937.91
2024-01-01,Talhão 09,Soja,31.81,14.75,27.91,145.86,2282.03
2024-01-01,Talhão 09,Trigo,24.88,0.0,21.66,116.45,2586.01
2024-01-02,Talhão 08,Soja,29.98,6.39,29.06,157.23,2400.89
2024-01-02,Talhão 01,Soja,21.69,0.0,32.48,97.61,1853.05
2024-01-02,Talhão 10,Trigo,25.21,0.0,12.91,115.61,1887.54
2024-01-02,Talhão 04,Soja,17.87,0.0,23.94,168.31,3547.27
2024-01-02,Talhão 04,Milho,23.75,0.0,26.28,214.48,8776.25
2024-01-02,Talhão 01,Soja,14.9,0.0,18.25,123.8,2122.13
2024-01-02,Talhão 01,Algodão,15.91,0.0,25.47,186.03,1921.59
2024-01-02,Talhão 04,Soja,19.86,0.0,24.92,171.73,3758.5
2024-01-02,Talhão 05,Soja,21.72,0.0,24.68,174.74,3561.15
2024-01-02,Talhão 02,Soja,19.96,0.0,26.7,172.86,3637.49
2024-01-03,Talhão 01,Algodão,29.55,5.09,29.31,190.25,1889.02
2024-01-03,Talhão 09,Trigo,22.38,3.94,29.67,134.36,2433.7
2024-01-03,Talhão 03,Trigo,22.37,0.0,14.69,132.41,2745.29
2024-01-03,Talhão 01,Algodão,28.88,20.98,26.08,196.27,1645.69
2024-01-03,Talhão 10,Trigo,32.7,0.0,26.82,125.2,2096.46
2024-01-03,Talhão 09,Soja,26.57,21.81,31.5,162.35,2532.49
2024-01-03,Talhão 01,Trigo,25.51,0.0,23.27,131.34,2275.09
2024-01-03,Talhão 09,Soja,14.53,0.0,20.07,153.01,2352.53
2024-01-03,Talhão 04,Soja,18.08,0.0,24.98,176.86,3697.8
2024-01-03,Talhão 03,Soja,10.57,0.0,27.09,123.63,2093.75
2024-01-04,Talhão 06,Milho,18.8,0.0,32.39,200.26,7908.56
2024-01-04,Talhão 01,Soja,12.15,0.0,24.98,149.77,2573.91
2024-01-04,Talhão 05,Milho,40.0,33.14,27.38,190.95,6489.44
2024-01-04,Talhão 05,Trigo,24.28,0.0,17.77,134.2,3000.81
2024-01-04,Talhão 10,Algodão,20.77,0.0,25.58,201.15,2246.32
2024-01-04,Talhão 01,Trigo,25.27,0.0,25.42,138.1,2238.32
2024-01-04,Talhão 03,Milho,40.0,10.5,30.58,219.08,7130.22
2024-01-04,Talhão 03,Algodão,17.95,0.0,30.34,156.0,2013.74
2024-01-04,Talhão 10,Algodão,22.98,0.0,27.94,187.09,2004.22
2024-01-04,Talhão 05,Soja,26.94,6.11,22.29,142.17,2338.87
2024-01-05,Talhão 03,Algodão,17.57,0.0,29.46,162.85,2053.04
2024-01-05,Talhão 10,Soja,16.03,0.0,24.32,119.02,2470.39
2024-01-05,Talhão 06,Trigo,31.22,0.0,21.36,153.11,2734.28
2024-01-05,Talhão 03,Trigo,21.14,0.0,14.08,106.4,2162.48
2024-01-05,Talhão 01,Milho,23.87,0.0,30.22,199.61,8013.7
2024-01-05,Talhão 07,Trigo,13.76,0.0,18.74,150.86,2877.28
2024-01-05,Talhão 02,Trigo,12.82,0.0,27.21,128.1,2137.53
2024-01-05,Talhão 04,Trigo,17.0,0.0,21.0,132.94,3052.87
2024-01-05,Talhão 08,Trigo,13.81,0.0,27.93,133.74,2107.58
2024-01-05,Talhão 03,Soja,16.89,0.0,26.4,167.7,3430.62
2024-01-06,Talhão 10,Milho,24.25,0.0,25.05,219.04,8905.81
2024-01-06,Talhão 08,Trigo,19.61,0.0,22.24,153.57,3235.0
2024-01-06,Talhão 03,Soja,21.91,0.0,21.92,170.87,3443.92
2024-01-06,Talhão 05,Trigo,18.35,1.09,27.76,120.24,2463.08
2024-01-06,Talhão 09,Milho,18.51,0.0,25.05,207.84,8299.93
2024-01-06,Talhão 04,Algodão,19.93,0.0,25.73,202.47,2477.81
2024-01-06,Talhão 05,Trigo,27.85,11.65,29.07,121.8,1869.54
2024-01-06,Talhão 06,Algodão,18.08,0.0,22.8,148.37,1560.25
2024-01-06,Talhão 08,Trigo,19.06,0.0,21.45,146.53,3224.48
2024-01-06,Talhão 03,Soja,15.6,0.0,32.39,135.51,2276.02
2024-01-07,Talhão 02,Trigo,31.01,17.3,27.95,136.8,2260.93
2024-01-07,Talhão 09,Algodão,19.77,0.0,25.77,207.18,2289.06
2024-01-07,Talhão 05,Trigo,20.06,0.0,21.12,129.47,2958.76
2024-01-07,Talhão 02,Algodão,24.8,0.0,37.26,204.01,2313.21
2024-01-07,Talhão 07,Soja,17.0,0.0,24.28,130.26,2689.85
2024-01-07,Talhão 04,Milho,17.21,0.0,21.24,173.49,6298.92
2024-01-07,Talhão 06,Algodão,27.58,11.54,20.44,194.84,1688.37
2024-01-07,Talhão 02,Milho,18.47,1.63,33.9,165.74,6348.44
2024-01-07,Talhão 06,Algodão,21.39,0.0,31.38,148.11,1700.42
2024-01-07,Talhão 07,Milho,40.0,24.44,29.71,231.92,7675.44
2024-01-08,Talhão 10,Milho,16.81,0.0,21.25,183.03,6634.44
2024-01-08,Talhão 04,Milho,22.47,0.0,29.68,130.44,5330.49
2024-01-08,Talhão 03,Algodão,17.62,0.93,34.69,188.27,2219.71
2024-01-08,Talhão 07,Algodão,37.74,23.35,32.97,184.06,1697.82
2024-01-08,Talhão 02,Milho,30.26,0.0,32.12,207.2,6636.73
2024-01-08,Talhão 01,Trigo,22.67,0.0,18.68,139.37,3230.99
2024-01-08,Talhão 10,Trigo,22.93,0.0,22.3,122.56,2679.86
2024-01-08,Talhão 02,Soja,13.14,0.0,26.88,106.5,1952.59
2024-01-08,Talhão 06,Trigo,22.44,0.0,14.49,118.75,2561.13
2024-01-08,Talhão 02,Soja,16.04,0.0,22.35,121.32,2431.73
2024-01-09,Talhão 02,Soja,20.18,0.0,34.82,160.29,2868.17
2024-01-09,Talhão 08,Milho,14.7,0.0,26.1,203.56,6662.34
2024-01-09,Talhão 08,Milho,16.1,0.0,31.84,194.94,7660.87
2024-01-09,Talhão 08,Algodão,21.56,0.0,32.88,160.55,1857.14
2024-01-09,Talhão 10,Milho,21.02,0.0,19.97,196.26,6996.39
2024-01-09,Talhão 09,Soja,14.59,0.0,21.77,154.36,2555.2
2024-01-09,Talhão 04,Milho,27.4,0.0,27.96,247.49,8509.29
2024-01-09,Talhão 08,Trigo,19.05,0.0,14.81,147.91,2962.39
2024-01-09,Talhão 02,Algodão,22.81,0.0,23.01,170.84,1733.39
2024-01-09,Talhão 04,Milho,15.68,0.0,25.04,149.94,6063.61
2024-01-10,Talhão 04,Trigo,25.49,20.06,18.81,108.46,2051.83
2024-01-10,Talhão 08,Milho,21.04,0.0,30.64,166.61,6761.24
2024-01-10,Talhão 05,Milho,15.93,0.0,31.2,219.75,8817.53
2024-01-10,Talhão 06,Soja,20.05,0.0,28.82,115.41,2398.05
2024-01-10,Talhão 08,Milho,29.92,0.0,37.99,188.35,5151.08
